participant_id	age	sex	hand	weight	height	group	species	bci_experience
sub-1	22.8	n/a	n/a	n/a	n/a	healthy	human	n/a
sub-10	22.8	n/a	n/a	n/a	n/a	healthy	human	n/a
sub-11	22.8	n/a	n/a	n/a	n/a	healthy	human	n/a
sub-12	22.8	n/a	n/a	n/a	n/a	healthy	human	n/a
sub-13	22.8	n/a	n/a	n/a	n/a	healthy	human	n/a
sub-14	22.8	n/a	n/a	n/a	n/a	healthy	human	n/a
sub-15	22.8	n/a	n/a	n/a	n/a	healthy	human	n/a
sub-2	22.8	n/a	n/a	n/a	n/a	healthy	human	n/a
sub-3	22.8	n/a	n/a	n/a	n/a	healthy	human	n/a
sub-4	22.8	n/a	n/a	n/a	n/a	healthy	human	n/a
sub-5	22.8	n/a	n/a	n/a	n/a	healthy	human	n/a
sub-6	22.8	n/a	n/a	n/a	n/a	healthy	human	n/a
sub-7	22.8	n/a	n/a	n/a	n/a	healthy	human	n/a
sub-8	22.8	n/a	n/a	n/a	n/a	healthy	human	n/a
sub-9	22.8	n/a	n/a	n/a	n/a	healthy	human	n/a
